									DNK       	NOR       	SWE       	FIN       	BALT      	EUR       
RP1       	.         	h67        	3.79874   	18.17983  	19.33748  	11.00115  	3.22033   	50.69912  
RP1       	.         	h68        	3.56575   	17.92732  	18.70535  	10.82554  	2.92870   	47.60971  
RP1       	.         	h69        	3.28744   	17.51367  	17.87892  	10.69622  	2.59194   	44.41673  
RP1       	.         	h70        	2.98662   	16.90691  	17.03791  	10.28991  	2.35889   	41.11887  
RP1       	.         	h71        	2.75779   	16.34764  	16.38243  	9.90135   	2.21589   	37.84558  
RP1       	.         	h72        	2.61440   	15.96454  	16.02977  	9.67240   	2.13763   	35.62184  
RP1       	.         	h73        	3.27033   	17.07236  	18.10413  	10.43243  	2.51373   	46.48833  
RP1       	.         	h74        	3.25217   	16.90017  	18.06217  	10.43849  	2.51719   	46.23787  
RP1       	.         	h75        	3.28587   	16.93218  	18.11573  	10.58603  	2.58794   	46.92842  
RP1       	.         	h76        	3.42125   	17.12843  	18.43984  	11.05561  	2.85917   	49.12923  
RP1       	.         	h77        	3.77763   	17.79154  	19.48094  	11.57622  	3.24105   	53.82079  
RP1       	.         	h78        	4.27417   	18.80518  	20.81791  	11.84029  	3.56947   	58.84289  
RP1       	.         	h79        	4.63163   	19.49521  	21.62409  	11.96431  	3.77038   	62.55647  
RP1       	.         	h80        	4.77284   	19.71416  	21.89613  	12.00728  	3.85185   	64.40084  
RP1       	.         	h81        	4.84732   	19.75694  	22.06271  	12.02521  	3.87448   	65.87981  
RP1       	.         	h82        	4.85684   	19.69597  	22.07960  	12.02120  	3.85451   	67.22061  
RP1       	.         	h83        	4.79493   	19.57352  	21.97728  	11.96875  	3.85691   	67.26013  
RP1       	.         	h84        	4.74407   	19.45975  	21.84240  	11.90587  	3.83638   	66.36237  
RP1       	.         	h85        	4.68256   	19.39136  	21.70128  	11.87582  	3.79090   	65.09109  
RP1       	.         	h86        	4.59239   	19.36499  	21.64205  	11.88964  	3.73667   	63.96779  
RP1       	.         	h87        	4.58279   	19.43094  	21.71341  	12.00635  	3.71953   	63.06609  
RP1       	.         	h88        	4.81642   	19.53553  	22.03764  	12.10846  	3.76562   	63.30567  
RP1       	.         	h89        	4.94448   	19.59148  	22.16988  	12.21669  	3.78616   	64.59369  
RP1       	.         	h90        	4.77388   	19.58618  	21.98677  	12.19036  	3.75784   	64.80633  
RP1       	.         	h91        	4.53729   	19.45899  	21.61580  	11.88030  	3.63732   	62.97082  
RP1       	.         	h92        	4.30300   	19.20501  	20.98342  	11.69964  	3.34700   	59.87212  
RP1       	.         	h93        	4.02491   	18.79153  	20.15775  	11.57444  	3.01034   	56.68365  
RP1       	.         	h94        	3.72406   	18.18505  	19.31561  	11.17171  	2.77609   	53.41216  
RP1       	.         	h95        	3.49419   	17.62339  	18.65749  	10.78177  	2.63204   	50.13021  
RP1       	.         	h96        	3.34970   	17.23739  	18.30012  	10.55070  	2.55295   	47.89045  
RP1       	.         	h97        	3.43189   	17.27297  	17.81720  	10.38274  	2.55898   	48.89932  
RP1       	.         	h98        	3.41307   	17.10066  	17.77399  	10.38715  	2.56199   	48.63612  
RP1       	.         	h99        	3.44622   	17.13185  	17.82683  	10.53295  	2.63180   	49.31493  
RP1       	.         	h100       	3.58025   	17.32656  	18.14801  	10.99920  	2.90041   	51.49105  
RP1       	.         	h101       	3.93370   	17.98470  	19.18166  	11.52227  	3.28285   	56.13269  
RP1       	.         	h102       	4.43006   	18.99882  	20.52138  	11.78755  	3.61244   	61.15416  
RP1       	.         	h103       	4.79092   	19.69889  	21.33769  	11.91324  	3.81450   	64.89466  
RP1       	.         	h104       	4.93402   	19.92311  	21.61240  	11.95536  	3.89689   	66.75535  
RP1       	.         	h105       	5.00822   	19.96695  	21.77844  	11.97282  	3.92036   	68.23240  
